Timestamp,x1,x2,x3,x4,x5,y1,y2,y3,y4,y5,rx,ry,r_yaw
1730826669320202496,5.9,-5.48,6.41,-6.5,11.16,-0.37,11.08,0.67,4.5,-7.16,9.39353505711665,-2.21557454902249,-3.067665058595996
1730826669420138496,5.9,-5.47,6.41,-6.52,11.16,-0.37,11.08,0.67,4.5,-7.16,9.393028496733953,-2.2151992840514745,-3.067608249579443
1730826669520129536,5.9,-5.47,6.41,-6.54,11.16,-0.37,11.08,0.67,4.5,-7.16,9.39376323377316,-2.21529761080593,-3.067841963623322
1730826669620159488,5.9,-5.46,6.4,-6.57,11.16,-0.37,11.08,0.67,4.5,-7.16,9.393366080194113,-2.215996338648389,-3.0676894777383557
1730826669720169472,5.9,-5.46,6.4,-6.59,11.16,-0.37,11.08,0.67,4.5,-7.15,9.39236552260065,-2.215452646962163,-3.067865034581472
1730826669820086528,5.91,-5.45,6.4,-6.62,11.16,-0.37,11.08,0.67,4.5,-7.15,9.39355573002129,-2.215667220973775,-3.0677060288565565
1730826669920108544,5.91,-5.44,6.4,-6.64,11.16,-0.37,11.09,0.67,4.5,-7.15,9.393584283377796,-2.2154596759241048,-3.067848294770417
1730826670020237568,5.91,-5.44,6.4,-6.66,11.16,-0.37,11.09,0.67,4.5,-7.15,9.394915971796149,-2.215678694967939,-3.067441082851091
1730826670120243200,5.91,-5.43,6.4,-6.69,11.16,-0.37,11.09,0.67,4.49,-7.15,9.395016027667207,-2.215531299616585,-3.067558070226791
1730826670220273152,5.91,-5.42,6.4,-6.71,11.16,-0.37,11.09,0.66,4.49,-7.15,9.394472012930173,-2.215657269766425,-3.067859514187347
1730826670320224256,5.92,-5.42,6.4,-6.73,11.16,-0.37,11.09,0.66,4.49,-7.15,9.395151590702037,-2.215240250428238,-3.0674550916485543
1730826670420214528,5.92,-5.41,6.4,-6.73,11.16,-0.37,11.09,0.66,4.49,-7.15,9.394767946689909,-2.215675284219746,-3.0675850351508003
1730826670520199424,5.92,-5.41,6.4,-6.72,11.16,-0.37,11.09,0.66,4.49,-7.14,9.394499422154485,-2.2153923704318492,-3.0676329384506413
1730826670620170240,5.92,-5.4,6.39,-6.71,11.16,-0.37,11.09,0.66,4.49,-7.14,9.394472974186742,-2.2149528357924035,-3.067492879386035
1730826670720232192,5.92,-5.39,6.39,-6.71,11.16,-0.37,11.09,0.66,4.49,-7.14,9.392779451573066,-2.2158217800758306,-3.0679348998967533
1730826670820232448,5.92,-5.39,6.39,-6.7,11.16,-0.37,11.09,0.66,4.49,-7.14,9.39312764624007,-2.2151619653785506,-3.067507079604745
1730826670920228608,5.93,-5.38,6.39,-6.69,11.16,-0.37,11.09,0.66,4.49,-7.14,9.393423298836694,-2.2154323087017236,-3.0677893187310463
1730826671020217344,5.93,-5.38,6.39,-6.69,11.16,-0.37,11.1,0.66,4.49,-7.14,9.393834668819528,-2.215545649304639,-3.0676674726857005
1730826671120237312,5.93,-5.37,6.39,-6.68,11.16,-0.37,11.1,0.66,4.49,-7.14,9.393920088551653,-2.2155737717819757,-3.0676677146175413
1730826671220145408,5.93,-5.36,6.39,-6.67,11.16,-0.37,11.1,0.66,4.49,-7.14,9.393610470976762,-2.2152790299454823,-3.0676257879809627
1730826671320151296,5.93,-5.36,6.39,-6.67,11.16,-0.37,11.1,0.65,4.49,-7.13,9.393383137114554,-2.2153783576233383,-3.0676639452494294
1730826671420133376,5.94,-5.33,6.39,-6.67,11.16,-0.37,11.1,0.65,4.49,-7.13,9.39335298233909,-2.2154085567381423,-3.067766932833194
1730826671520188672,5.94,-5.3,6.39,-6.66,11.16,-0.37,11.1,0.65,4.49,-7.13,9.393208381911526,-2.2159130284236794,-3.067764857843162
1730826671620208384,5.94,-5.27,6.39,-6.66,11.16,-0.37,11.1,0.65,4.48,-7.13,9.394401744581655,-2.2156432406685633,-3.0677147524329738
1730826671720258560,5.95,-5.25,6.39,-6.66,11.16,-0.37,11.1,0.64,4.48,-7.13,9.39292661059546,-2.2155836348042346,-3.06776974386109
1730826671820262400,5.95,-5.22,6.39,-6.66,11.16,-0.37,11.1,0.64,4.48,-7.13,9.393520263338223,-2.215747570241038,-3.0678618947272684
1730826671920110592,5.95,-5.19,6.39,-6.66,11.16,-0.37,11.1,0.64,4.48,-7.13,9.392777953387155,-2.215720594955019,-3.0676908856971608
1730826672020176384,5.95,-5.16,6.39,-6.65,11.16,-0.37,11.1,0.64,4.48,-7.13,9.394571176027984,-2.215274767477595,-3.0675713878477966
1730826672120160512,5.96,-5.14,6.39,-6.65,11.16,-0.37,11.1,0.64,4.48,-7.12,9.392521889879589,-2.2156360903939296,-3.0675953502877693
1730826672220244480,5.96,-5.11,6.39,-6.65,11.16,-0.38,11.1,0.63,4.48,-7.12,9.393661467989025,-2.215448947536215,-3.0675809200129853
1730826672320293376,5.96,-5.08,6.39,-6.65,11.16,-0.38,11.1,0.63,4.48,-7.12,9.393245113480269,-2.2155393558065017,-3.0675270894137396
1730826672420246272,5.96,-5.04,6.39,-6.65,11.16,-0.38,11.1,0.63,4.48,-7.12,9.392985503837895,-2.215597194461701,-3.0674530012928836
1730826672520234240,5.95,-5.0,6.39,-6.64,11.16,-0.38,11.1,0.63,4.48,-7.12,9.391411282902038,-2.2157279562142764,-3.0676443815466885
1730826672620302336,5.95,-4.96,6.4,-6.64,11.16,-0.38,11.1,0.62,4.48,-7.12,9.394199919299316,-2.215998295102157,-3.067903189152848
1730826672720253184,5.95,-4.92,6.4,-6.63,11.16,-0.38,11.11,0.62,4.48,-7.12,9.392763667835325,-2.2151746182956735,-3.0677412084354754
1730826672820270336,5.94,-4.88,6.4,-6.63,11.16,-0.38,11.11,0.62,4.48,-7.12,9.394212304642771,-2.215372600954272,-3.0675317599674665
1730826672920284160,5.94,-4.84,6.41,-6.63,11.16,-0.38,11.11,0.62,4.48,-7.11,9.390191571075073,-2.213271978048373,-3.058425585382675
1730826673020230400,5.94,-4.8,6.41,-6.62,11.16,-0.38,11.11,0.61,4.48,-7.11,9.382989294089379,-2.210331936684212,-3.0172648987039454
1730826673120378368,5.93,-4.75,6.41,-6.62,11.16,-0.38,11.11,0.61,4.47,-7.11,9.36067182670624,-2.208722925431462,-2.947509351227763
1730826673220370176,5.93,-4.71,6.41,-6.62,11.16,-0.38,11.11,0.61,4.47,-7.11,9.34287331693162,-2.2096746121190156,-2.922644714525294
1730826673320263424,5.92,-4.67,6.42,-6.61,11.16,-0.38,11.11,0.61,4.47,-7.11,9.323631662778388,-2.2115308278061554,-2.9140202644315925
1730826673420313344,5.94,-4.61,6.42,-6.61,11.16,-0.38,11.1,0.62,4.47,-7.11,9.305231249029914,-2.2141673334670045,-2.912033060289138
1730826673520303360,5.95,-4.55,6.42,-6.61,11.16,-0.38,11.09,0.63,4.47,-7.11,9.28196105731977,-2.218826985852894,-2.9140942433334147
1730826673620149248,5.96,-4.49,6.42,-6.61,11.16,-0.38,11.09,0.64,4.47,-7.11,9.261469012386183,-2.2207485750776224,-2.924143842247268
1730826673720174336,5.98,-4.43,6.42,-6.62,11.16,-0.38,11.08,0.66,4.47,-7.1,9.239999288670013,-2.2204421475845146,-2.9457792118705144
1730826673820074240,5.99,-4.36,6.42,-6.62,11.16,-0.38,11.07,0.67,4.47,-7.1,9.222449215866009,-2.2227637576670367,-2.964733290821826
1730826673920110336,6.0,-4.3,6.41,-6.62,11.16,-0.38,11.07,0.68,4.47,-7.1,9.19325123774946,-2.2235608183396787,-3.000357417871655
1730826674020213248,6.02,-4.24,6.41,-6.62,11.16,-0.38,11.06,0.69,4.47,-7.1,9.170532752933854,-2.2225613854319595,-3.0236969208233786
1730826674120271360,6.03,-4.18,6.41,-6.62,11.16,-0.38,11.05,0.71,4.47,-7.1,9.14747070836778,-2.2211960713954353,-3.041586051418087
1730826674220253440,6.04,-4.12,6.41,-6.62,11.16,-0.38,11.05,0.72,4.47,-7.1,9.131174081609679,-2.2211438372659718,-3.0532533253087544
1730826674320288512,6.06,-4.06,6.41,-6.62,11.16,-0.38,11.04,0.73,4.47,-7.1,9.107390967727254,-2.221873685016992,-3.0655353881596468
1730826674420257280,6.07,-3.98,6.41,-6.62,11.16,-0.38,11.04,0.73,4.47,-7.1,9.077102311719104,-2.219984349065799,-3.0760161141787217
1730826674520224256,6.07,-3.91,6.41,-6.62,11.16,-0.38,11.04,0.73,4.47,-7.09,9.057936571713938,-2.21915349707044,3.1992800359761797
1730826674620337408,6.08,-3.84,6.41,-6.62,11.16,-0.38,11.04,0.73,4.47,-7.09,9.035953259045433,-2.2187799146716025,3.1890930100035577
1730826674720271616,6.09,-3.77,6.41,-6.62,11.16,-0.38,11.04,0.73,4.46,-7.09,9.018437302173052,-2.2198782222487243,3.179087142369676
1730826674820315648,6.1,-3.7,6.41,-6.63,11.16,-0.38,11.04,0.73,4.46,-7.09,8.98918111017035,-2.214894659664189,3.1604213752825707
1730826674920308480,6.11,-3.63,6.41,-6.63,11.16,-0.38,11.04,0.73,4.46,-7.09,8.964025436785095,-2.2125534567132363,3.1445682981605256
