Timestamp,x1,x2,x3,x4,x5,y1,y2,y3,y4,y5,rx,ry,r_yaw
1730820724373844480,1.08,-1.03,1.44,-2.57,8.88,-0.15,10.67,0.69,10.71,-1.68,5.793301269429145,-2.183190423533986,1.771068545638652
1730820724473946624,1.08,-1.03,1.44,-2.58,8.87,-0.15,10.7,0.68,10.71,-1.67,5.792138680625309,-2.18348826765297,1.771162617803281
1730820724573922304,1.08,-1.03,1.44,-2.58,8.87,-0.14,10.73,0.66,10.71,-1.67,5.792632563132727,-2.183529988427086,1.7709607544610246
1730820724673963520,1.08,-1.03,1.44,-2.58,8.87,-0.14,10.75,0.65,10.71,-1.67,5.792974803262478,-2.182973363404979,1.7710382598715868
1730820724773943552,1.08,-1.03,1.44,-2.58,8.87,-0.14,10.78,0.64,10.72,-1.67,5.792502177208092,-2.1833685692129423,1.7710581162469714
1730820724873852416,1.08,-1.03,1.44,-2.58,8.86,-0.14,10.8,0.62,10.72,-1.67,5.79210583887769,-2.1826752818452997,1.7711199501680854
1730820724973846528,1.08,-1.03,1.44,-2.58,8.86,-0.13,10.83,0.61,10.72,-1.66,5.79333029736652,-2.1831296690624535,1.7708973292745938
1730820725073844480,1.08,-1.03,1.44,-2.59,8.86,-0.13,10.86,0.59,10.72,-1.66,5.793528024174181,-2.182706251554274,1.7712988273235124
1730820725173892608,1.08,-1.03,1.44,-2.59,8.86,-0.13,10.88,0.58,10.73,-1.66,5.792353382681361,-2.1831720257174667,1.771117665750242
1730820725273862656,1.08,-1.03,1.44,-2.59,8.85,-0.13,10.91,0.57,10.73,-1.66,5.792059007456391,-2.1826082111855185,1.7709442736963898
1730820725373858560,1.08,-1.03,1.44,-2.59,8.85,-0.12,10.93,0.55,10.73,-1.65,5.7924238797508565,-2.1832888697003425,1.7711499295662214
1730820725473859584,1.08,-1.03,1.44,-2.59,8.86,-0.12,10.95,0.54,10.73,-1.65,5.792088735841235,-2.182763833732658,1.7709966726785253
1730820725573818368,1.08,-1.04,1.44,-2.59,8.86,-0.12,10.97,0.53,10.73,-1.65,5.793101680244945,-2.183314229978049,1.7711654036581046
1730820725673763584,1.08,-1.04,1.44,-2.6,8.87,-0.12,10.99,0.52,10.73,-1.65,5.7927264136708665,-2.1828401737489114,1.7711902251203877
1730820725773812480,1.08,-1.04,1.44,-2.6,8.87,-0.12,11.01,0.51,10.73,-1.65,5.79299848932286,-2.182604208683681,1.7711195951275933
1730820725873815552,1.08,-1.04,1.44,-2.6,8.88,-0.12,11.03,0.5,10.73,-1.65,5.792449549179562,-2.1823023664508816,1.7712314184347564
1730820725973819392,1.08,-1.04,1.44,-2.6,8.88,-0.12,11.05,0.5,10.73,-1.66,5.792697998467583,-2.1821940078922397,1.7711318506413576
1730820726073859328,1.08,-1.04,1.44,-2.6,8.88,-0.12,11.06,0.49,10.73,-1.66,5.791578379965944,-2.1821736680975334,1.7710263605433456
1730820726173810432,1.08,-1.04,1.44,-2.6,8.89,-0.12,11.08,0.48,10.73,-1.66,5.792779767400605,-2.182855733878215,1.7711286060862508
1730820726273796608,1.08,-1.04,1.44,-2.61,8.89,-0.12,11.1,0.47,10.73,-1.66,5.792534922731907,-2.1828632890199917,1.7711763171177435
1730820726373779456,1.08,-1.04,1.44,-2.61,8.9,-0.12,11.12,0.46,10.73,-1.66,5.792837616486356,-2.1827692453172993,1.7711460276510889
1730820726473689600,1.08,-1.04,1.44,-2.61,8.9,-0.12,11.12,0.45,10.73,-1.66,5.792948415709594,-2.1827952300628333,1.771077606612003
1730820726573823488,1.08,-1.04,1.44,-2.61,8.91,-0.12,11.12,0.43,10.73,-1.66,5.792318827284973,-2.1827512894958967,1.7711123064154546
1730820726673788672,1.08,-1.04,1.44,-2.61,8.91,-0.12,11.12,0.42,10.73,-1.66,5.79360273568367,-2.182576596242459,1.7711763467649413
1730820726773815296,1.08,-1.04,1.44,-2.61,8.92,-0.12,11.12,0.41,10.73,-1.66,5.7929804262609075,-2.1826928352573756,1.7713073036163014
1730820726873760512,1.08,-1.04,1.44,-2.62,8.92,-0.12,11.12,0.4,10.73,-1.66,5.792513416766955,-2.1824491761122244,1.7711155503616358
1730820726973762560,1.08,-1.04,1.44,-2.62,8.93,-0.12,11.12,0.39,10.73,-1.66,5.7927522568410765,-2.182652087419659,1.7709976583519953
1730820727073855488,1.08,-1.04,1.44,-2.62,8.93,-0.12,11.12,0.38,10.73,-1.66,5.791639892933498,-2.1830849831224084,1.7712026398559406
1730820727173859328,1.08,-1.05,1.44,-2.62,8.94,-0.12,11.12,0.36,10.73,-1.66,5.792643358438012,-2.1814566178677377,1.770951804828982
1730820727273798400,1.08,-1.05,1.44,-2.62,8.94,-0.12,11.12,0.35,10.73,-1.66,5.793340451057997,-2.1821956909405955,1.7713003141310244
1730820727373860352,1.08,-1.05,1.44,-2.62,8.95,-0.12,11.12,0.34,10.73,-1.66,5.793888156207798,-2.1828047139027333,1.7712968911354545
1730820727473831424,1.08,-1.05,1.44,-2.62,8.94,-0.14,11.12,0.34,10.73,-1.66,5.792459564986444,-2.1826678298126962,1.7711330674433485
1730820727573782528,1.08,-1.05,1.44,-2.63,8.93,-0.15,11.12,0.33,10.73,-1.66,5.792514509183691,-2.182181165889802,1.77114258974256
1730820727673812480,1.08,-1.05,1.44,-2.63,8.92,-0.16,11.12,0.33,10.73,-1.66,5.792891706827739,-2.1824870693311142,1.7712799734768658
1730820727773948416,1.08,-1.05,1.44,-2.63,8.92,-0.17,11.12,0.33,10.73,-1.66,5.794596835445013,-2.182641316646494,1.7712135763282226
1730820727873942272,1.08,-1.05,1.44,-2.63,8.91,-0.18,11.12,0.32,10.73,-1.66,5.792364263962604,-2.1824816167492096,1.7711624170741505
1730820727973919488,1.08,-1.05,1.44,-2.63,8.9,-0.19,11.12,0.32,10.73,-1.66,5.793409367175977,-2.183338158567626,1.771153506299972
1730820728073901312,1.08,-1.05,1.44,-2.63,8.9,-0.21,11.12,0.32,10.73,-1.66,5.793979416773778,-2.183876963635843,1.770966469489261
1730820728173912576,1.08,-1.05,1.44,-2.64,8.89,-0.22,11.12,0.31,10.73,-1.66,5.793832143933431,-2.182982240826296,1.7712030346463472
1730820728273906432,1.08,-1.05,1.44,-2.64,8.88,-0.23,11.12,0.31,10.73,-1.66,5.793079184717378,-2.1827294788487923,1.771002251140952
1730820728373911296,1.08,-1.05,1.44,-2.64,8.88,-0.24,11.12,0.31,10.73,-1.66,5.7933359838257115,-2.183897000737052,1.7712617411138059
1730820728473968384,1.08,-1.05,1.44,-2.64,8.88,-0.25,11.12,0.3,10.73,-1.66,5.793589172264543,-2.183854884687792,1.7711845211964432
1730820728573958400,1.08,-1.05,1.44,-2.64,8.88,-0.25,11.12,0.3,10.73,-1.66,5.7927267887094205,-2.183713327457486,1.771280497101789
1730820728673998336,1.08,-1.06,1.44,-2.64,8.88,-0.26,11.12,0.29,10.73,-1.66,5.791775617013858,-2.1834833303094157,1.7708841895902818
1730820728773993216,1.08,-1.06,1.44,-2.65,8.88,-0.26,11.12,0.29,10.73,-1.66,5.7935133669223475,-2.1836339864320893,1.7711020534600004
1730820728874041344,1.08,-1.06,1.44,-2.65,8.88,-0.26,11.12,0.29,10.73,-1.66,5.793049641246624,-2.18302699724368,1.7712010857400409
1730820728973867520,1.08,-1.06,1.44,-2.65,8.88,-0.27,11.12,0.28,10.73,-1.66,5.792309727600301,-2.18324364030109,1.7710410558827685
1730820729073915136,1.08,-1.06,1.44,-2.65,8.88,-0.27,11.12,0.28,10.73,-1.66,5.792621159203245,-2.1834126753136256,1.771029795353404
1730820729173942272,1.08,-1.06,1.44,-2.65,8.88,-0.28,11.12,0.28,10.73,-1.66,5.792245748833064,-2.1833701369913747,1.7710236428423438
1730820729273957376,1.08,-1.06,1.44,-2.65,8.88,-0.28,11.12,0.27,10.73,-1.66,5.792719543791899,-2.183708912750474,1.7709932703074323
1730820729373944320,1.08,-1.06,1.44,-2.66,8.88,-0.29,11.12,0.27,10.73,-1.66,5.792518987583286,-2.1831259268305176,1.7710876149402626
1730820729473865216,1.08,-1.06,1.44,-2.66,8.87,-0.28,11.12,0.27,10.73,-1.66,5.7928231581597505,-2.1837434248746703,1.7710872289857158
1730820729573681408,1.08,-1.06,1.44,-2.66,8.87,-0.26,11.12,0.27,10.73,-1.66,5.792355433780649,-2.1832096168592816,1.7711829150175735
1730820729673831424,1.08,-1.06,1.44,-2.66,8.86,-0.25,11.12,0.27,10.73,-1.67,5.7933476380966304,-2.183749597738661,1.7713292106682585
1730820729773732352,1.08,-1.06,1.44,-2.66,8.86,-0.24,11.12,0.27,10.73,-1.67,5.79260103973068,-2.1839874016904908,1.7711914246456304
1730820729873796352,1.08,-1.06,1.44,-2.66,8.85,-0.23,11.12,0.27,10.73,-1.67,5.792609916818327,-2.183548652917799,1.7711290258453587
1730820729973746432,1.08,-1.06,1.44,-2.67,8.85,-0.22,11.12,0.27,10.73,-1.67,5.792881011062411,-2.1832374090799758,1.7710804872356356
1730820730073833216,1.08,-1.06,1.44,-2.67,8.84,-0.21,11.12,0.27,10.73,-1.67,5.793684606571141,-2.183262704929042,1.7711488410888283
1730820730173806336,1.08,-1.06,1.44,-2.67,8.84,-0.19,11.11,0.27,10.73,-1.67,5.791731792191184,-2.1833066750978225,1.7710391743181646
1730820730273747456,1.08,-1.07,1.44,-2.67,8.83,-0.18,11.11,0.27,10.73,-1.67,5.793161737670216,-2.18320987001166,1.7710621061966823
1730820730373732608,1.08,-1.07,1.44,-2.67,8.83,-0.17,11.11,0.27,10.73,-1.67,5.792872068753937,-2.1838086851534557,1.7710924528355718
1730820730473722368,1.08,-1.07,1.44,-2.67,8.79,-0.18,11.11,0.27,10.73,-1.67,5.793110866726632,-2.183266585550488,1.771081025851348
1730820730573646592,1.08,-1.07,1.44,-2.67,8.74,-0.19,11.11,0.27,10.73,-1.67,5.79255306364331,-2.1831701575806073,1.770843377115051
1730820730673833472,1.08,-1.07,1.44,-2.68,8.7,-0.19,11.11,0.27,10.73,-1.67,5.792425750611584,-2.1832611817790486,1.7710295612710465
1730820730773745408,1.08,-1.07,1.44,-2.68,8.66,-0.2,11.11,0.27,10.73,-1.67,5.794025358061898,-2.183640521537487,1.771084861662104
1730820730873787392,1.08,-1.07,1.44,-2.68,8.62,-0.21,11.11,0.27,10.73,-1.67,5.79353614057386,-2.1832921668528202,1.7711250346855396
1730820730973727232,1.08,-1.07,1.44,-2.68,8.57,-0.21,11.11,0.27,10.73,-1.67,5.792168589958676,-2.1779966405693125,1.7603613553563766
1730820731073817344,1.08,-1.07,1.44,-2.68,8.53,-0.22,11.11,0.28,10.73,-1.67,5.787008412135032,-2.1602705455970392,1.6858144750109627
1730820731173663488,1.08,-1.07,1.44,-2.68,8.49,-0.23,11.11,0.28,10.73,-1.67,5.783753493647019,-2.153175922576801,1.6626571916217625
1730820731273751296,1.08,-1.07,1.44,-2.69,8.45,-0.23,11.11,0.28,10.73,-1.67,5.783602057685378,-2.1323663081555635,1.6499851100243872
1730820731373741312,1.08,-1.07,1.44,-2.69,8.41,-0.24,11.11,0.28,10.73,-1.67,5.783852686160583,-2.111048025580779,1.6524932646503916
1730820731473784320,1.08,-1.07,1.44,-2.69,8.34,-0.25,11.1,0.28,10.73,-1.67,5.782608113046258,-2.090636058036914,1.6483555742660005
1730820731573586432,1.08,-1.07,1.44,-2.69,8.27,-0.26,11.1,0.28,10.73,-1.67,5.780590868831833,-2.0773364773178526,1.6507557028429884
1730820731673519360,1.08,-1.07,1.44,-2.69,8.21,-0.26,11.1,0.28,10.73,-1.67,5.780055517133631,-2.0512752098935527,1.6525427864404911
1730820731773652480,1.08,-1.08,1.44,-2.69,8.14,-0.27,11.1,0.28,10.73,-1.67,5.778254770356733,-2.03045714769943,1.6546213495680107
1730820731873590528,1.08,-1.08,1.44,-2.7,8.08,-0.28,11.1,0.28,10.73,-1.67,5.7800887479643634,-2.009489646317654,1.6482339305605807
1730820731973647360,1.08,-1.08,1.44,-2.7,8.01,-0.28,11.1,0.28,10.73,-1.67,5.779530868160181,-1.99688195817419,1.6386069072480425
1730820732073687296,1.08,-1.08,1.44,-2.7,7.94,-0.29,11.1,0.28,10.73,-1.67,5.780606779887681,-1.9754030079002818,1.6146494018674256
1730820732173675264,1.08,-1.08,1.44,-2.7,7.88,-0.3,11.1,0.28,10.73,-1.67,5.781308127891197,-1.955840755128945,1.592855708002884
1730820732273622272,1.08,-1.08,1.44,-2.7,7.81,-0.3,11.1,0.28,10.73,-1.67,5.782595682156565,-1.943026037930161,1.575731902873397
1730820732373648384,1.08,-1.08,1.44,-2.7,7.75,-0.31,11.1,0.28,10.73,-1.67,5.7852730740366365,-1.918383637601307,1.5431861512262126
1730820732473586432,1.08,-1.08,1.44,-2.71,7.69,-0.33,11.1,0.28,10.73,-1.67,5.787025361187476,-1.8909411330448265,1.4995560621844735
1730820732573713664,1.08,-1.08,1.44,-2.71,7.63,-0.34,11.1,0.28,10.73,-1.67,5.792336945912838,-1.8702105550157218,1.4759753544851004
1730820732673693440,1.08,-1.08,1.44,-2.71,7.56,-0.35,11.1,0.28,10.73,-1.67,5.7943254493113265,-1.8522104191921005,1.4548259456781338
1730820732773806336,1.08,-1.08,1.44,-2.71,7.5,-0.37,11.09,0.28,10.73,-1.67,5.801181383981142,-1.828594243390363,1.4220763136317802
1730820732873716480,1.08,-1.08,1.44,-2.71,7.44,-0.38,11.09,0.28,10.73,-1.67,5.812043705808147,-1.7961662081099457,1.374676295577564
1730820732973720320,1.08,-1.08,1.44,-2.71,7.38,-0.4,11.09,0.28,10.73,-1.67,5.820590901497338,-1.7700958418191808,1.336566956502246
1730820733073824512,1.08,-1.08,1.44,-2.72,7.32,-0.41,11.09,0.28,10.73,-1.67,5.830975928282365,-1.7413647283720388,1.2989310930976734
1730820733173760256,1.08,-1.08,1.44,-2.72,7.26,-0.42,11.09,0.28,10.73,-1.67,5.843069760567367,-1.7100624263861075,1.2622012137987795
1730820733273808128,1.08,-1.08,1.44,-2.72,7.2,-0.44,11.09,0.28,10.73,-1.67,5.851445354677617,-1.685568176993343,1.2429293863280535
1730820733373797120,1.08,-1.09,1.44,-2.72,7.14,-0.45,11.09,0.28,10.73,-1.68,5.869609352520377,-1.6493344651753805,1.2295925177808162
1730820733473784320,1.08,-1.09,1.44,-2.72,7.07,-0.43,11.09,0.28,10.73,-1.68,5.8810124065353495,-1.6189000982122348,1.2325710424230265
