Timestamp,x1,x2,x3,x4,x5,y1,y2,y3,y4,y5,rx,ry,r_yaw
1730213437255647488,10.89,-0.25,10.93,-2.22,8.97,-1.13,0.31,-1.1,2.05,0.52,9.540295995054631,2.8773394019638534,-3.3798444552592226
1730213437355666432,10.89,-0.25,10.93,-2.22,8.97,-1.13,0.32,-1.1,2.05,0.52,9.540295995054631,2.8773394019638534,-3.3798444552592226
1730213437455660544,10.89,-0.25,10.93,-2.22,8.96,-1.13,0.32,-1.1,2.05,0.52,9.540295995054631,2.8773394019638534,-3.3798444552592226
1730213437555639552,10.89,-0.25,10.93,-2.22,8.96,-1.14,0.33,-1.1,2.05,0.52,9.540295995054631,2.8773394019638534,-3.3798444552592226
1730213437655626496,10.89,-0.25,10.93,-2.22,8.95,-1.14,0.33,-1.1,2.05,0.52,9.540295995054631,2.8773394019638534,-3.3798444552592226
1730213437755629568,10.89,-0.24,10.93,-2.22,8.95,-1.14,0.33,-1.1,2.05,0.52,9.540295995053533,2.8773394019636322,-3.3799552599798948
1730213437855593472,10.89,-0.24,10.93,-2.22,8.94,-1.14,0.34,-1.1,2.05,0.52,9.540295995052354,2.877339401963394,-3.38018529656199
1730213437955626496,10.89,-0.24,10.93,-2.22,8.94,-1.14,0.34,-1.11,2.05,0.52,9.540295995054544,2.877339401963832,-3.3803331367202967
1730213438055600384,10.89,-0.24,10.93,-2.23,8.93,-1.14,0.35,-1.11,2.05,0.52,9.540295995055448,2.8773394019640133,-3.38032902508103
1730213438155656704,10.89,-0.23,10.93,-2.23,8.92,-1.14,0.35,-1.11,2.05,0.52,9.540295995052212,2.877339401963364,-3.380435506308773
1730213438255614464,10.89,-0.23,10.93,-2.23,8.92,-1.14,0.36,-1.11,2.05,0.52,9.540295995054215,2.8773394019637646,-3.3805545831039208
1730213438355892480,10.89,-0.23,10.93,-2.23,8.91,-1.14,0.36,-1.11,2.05,0.52,9.540295995056013,2.8773394019641243,-3.3805348291916792
1730213438455714304,10.89,-0.23,10.93,-2.23,8.91,-1.14,0.36,-1.11,2.05,0.52,9.540295995052151,2.8773394019633507,-3.3803758581475383
1730213438555680256,10.89,-0.23,10.93,-2.23,8.9,-1.14,0.37,-1.11,2.05,0.52,9.540295995053697,2.87733940196366,-3.380409469774893
1730213438655584512,10.89,-0.22,10.93,-2.23,8.9,-1.15,0.37,-1.11,2.05,0.52,9.540295995052862,2.87733940196349,-3.380489529910342
1730213438755580416,10.89,-0.22,10.93,-2.23,8.89,-1.15,0.38,-1.11,2.05,0.52,9.540295995052409,2.8773394019634004,-3.3805204237622504
1730213438855511552,10.89,-0.22,10.93,-2.23,8.89,-1.15,0.38,-1.11,2.05,0.52,9.540295995053235,2.8773394019635656,-3.3807181335757703
1730213438955698176,10.89,-0.22,10.93,-2.23,8.88,-1.15,0.38,-1.11,2.05,0.52,9.540295995052793,2.877339401963476,-3.380684219837767
1730213439055616256,10.89,-0.21,10.93,-2.23,8.88,-1.15,0.39,-1.12,2.05,0.52,9.540295995053217,2.877339401963561,-3.380676209783675
1730213439155687424,10.89,-0.21,10.93,-2.23,8.87,-1.15,0.39,-1.12,2.05,0.52,9.54029599505256,2.877339401963429,-3.38076252627215
1730213439255554560,10.89,-0.21,10.93,-2.23,8.87,-1.15,0.4,-1.12,2.05,0.52,9.540295995052782,2.8773394019634733,-3.38079526196941
1730213439355513600,10.89,-0.21,10.93,-2.23,8.86,-1.15,0.4,-1.12,2.05,0.51,9.540295995053508,2.877339401963617,-3.3808319718368414
1730213439455559424,10.89,-0.2,10.93,-2.23,8.85,-1.15,0.4,-1.12,2.05,0.51,9.540295995053576,2.8773394019636305,-3.3809221931700875
1730213439555511296,10.89,-0.2,10.93,-2.23,8.85,-1.15,0.41,-1.12,2.05,0.51,9.540295995052698,2.8773394019634564,-3.3811344784328887
1730213439655537408,10.89,-0.2,10.93,-2.23,8.84,-1.15,0.41,-1.12,2.05,0.51,9.54029599505335,2.8773394019635843,-3.381204631110035
1730213439755595520,10.89,-0.2,10.93,-2.23,8.84,-1.16,0.42,-1.12,2.05,0.51,9.540295995053647,2.877339401963642,-3.3814411382557994
1730213439855582208,10.89,-0.2,10.93,-2.24,8.81,-1.16,0.42,-1.12,2.05,0.51,9.540295995052572,2.877339401963429,-3.3812744461110373
1730213439955579392,10.89,-0.19,10.93,-2.24,8.78,-1.16,0.43,-1.12,2.05,0.51,9.540295995053295,2.8773394019635736,-3.3813542374290844
1730213440055523328,10.89,-0.19,10.93,-2.24,8.74,-1.17,0.43,-1.12,2.05,0.51,9.540295995053913,2.877339401963697,-3.381434265429211
1730213440155565312,10.89,-0.19,10.93,-2.24,8.71,-1.17,0.43,-1.12,2.05,0.51,9.540295995052682,2.877339401963452,-3.3813358834351552
1730213440255683328,10.89,-0.19,10.93,-2.24,8.68,-1.18,0.44,-1.13,2.05,0.51,9.540295995053189,2.877339401963554,-3.3813021972701525
1730213440355568384,10.89,-0.19,10.93,-2.24,8.63,-1.18,0.44,-1.13,2.05,0.51,9.540295995053768,2.8773394019636696,-3.3812953297175667
1730213440455679488,10.89,-0.19,10.93,-2.24,8.58,-1.18,0.45,-1.13,2.05,0.51,9.54029599505276,2.877339401963468,-3.3813745931017865
1730213440555571200,10.89,-0.19,10.93,-2.24,8.53,-1.18,0.45,-1.13,2.05,0.51,9.540295995053174,2.8773394019635514,-3.381466645132927
